# Directed graph: generated_songs/generated_rock_song_67.txt 
# Nodes: 27 Edges: 66
# FromNodeId	ToNodeId
44	13
44	27
44	70
44	101
44	103
44	114
44	117
44	131
13	44
13	57
13	76
13	95
13	101
13	110
13	114
114	13
114	44
114	70
114	72
114	95
114	101
72	76
76	24
76	39
76	101
24	27
27	44
27	50
27	81
27	101
27	131
131	27
131	101
101	13
101	44
101	95
101	114
101	117
117	44
117	116
57	131
95	39
95	44
95	55
70	13
70	44
70	114
70	117
103	13
81	27
81	101
116	18
18	102
18	136
136	18
102	44
39	114
39	121
55	114
110	13
121	61
61	5
5	12
5	81
12	5
50	5
