# Directed graph: generated_songs/generated_rock_song_22.txt 
# Nodes: 27 Edges: 63
# FromNodeId	ToNodeId
44	5
44	13
44	55
44	95
44	101
44	114
101	13
101	27
101	44
101	47
101	57
101	70
101	81
101	108
101	114
13	47
13	76
13	95
13	101
13	114
114	13
114	39
114	44
114	45
114	55
114	76
114	101
114	110
95	13
95	70
95	101
95	117
70	95
70	96
117	101
96	13
76	13
76	67
47	101
57	114
55	0
55	44
55	76
55	101
55	114
67	128
128	0
0	39
0	95
108	44
39	55
39	114
45	17
17	44
110	44
81	27
27	50
27	101
50	81
5	33
33	121
121	43
43	39
